"Convergence history of Static Temperature on point15 (in SI units)"
"Flow Time" "Vertex Maximum Static Temperature"
1. 314.4141845703125
2. 314.52783203125
3. 314.6349792480469
4. 314.7364501953125
5. 314.833740234375
6. 314.9266052246094
7. 315.0146484375
8. 315.0989685058594
9. 315.1798095703125
10. 315.2576599121094
11. 315.3333740234375
12. 315.4073486328125
13. 315.4795227050781
14. 315.5498657226562
15. 315.6184997558594
16. 315.685791015625
17. 315.7516174316406
18. 315.8159484863281
19. 315.8786010742188
21. 315.996337890625
23. 316.1113586425781
25. 316.220458984375
27. 316.3245239257812
29. 316.4244079589844
31. 316.519287109375
33. 316.6095275878906
35. 316.6965637207031
37. 316.7806396484375
39. 316.861083984375
41. 316.9395141601562
43. 317.0151672363281
45. 317.0879516601562
47. 317.1578369140625
49. 317.2246398925781
51. 317.2890014648438
53. 317.3508911132812
56.5 317.44970703125
61.5 317.5862426757812
66.5 317.712158203125
71.5 317.8291320800781
76.5 317.9383850097656
81.5 318.0409545898438
86.5 318.1353454589844
91.5 318.2266540527344
96.5 318.3125915527344
101.5 318.3920288085938
106.5 318.4683532714844
111.5 318.5420227050781
116.5 318.6105346679688
121.5 318.6760559082031
126.5 318.7393188476562
131.5 318.7987060546875
136.5 318.8558044433594
141.5 318.9095764160156
146.5 318.9594116210938
151.5 319.0071105957031
156.5 319.0531005859375
161.5 319.0967712402344
166.5 319.1365051269531
171.5 319.1748962402344
176.5 319.2112426757812
181.5 319.2456970214844
186.5 319.2781982421875
191.5 319.30859375
196.5 319.3366088867188
201.5 319.363037109375
206.5 319.3878784179688
211.5 319.4108581542969
216.5 319.431396484375
221.5 319.4508666992188
226.5 319.4695434570312
231.5 319.4859924316406
236.5 319.5008850097656
241.5 319.5143127441406
246.5 319.5263366699219
251.5 319.5367736816406
256.5 319.5459289550781
261.5 319.553955078125
266.5 319.560546875
271.5 319.566162109375
276.5 319.5701293945312
281.5 319.5721740722656
286.5 319.5731506347656
291.5 319.5733642578125
296.5 319.5726928710938
301.5 319.5704040527344
306.5 319.5668334960938
311.5 319.5625610351562
316.5 319.5573425292969
321.5 319.5510559082031
326.5 319.5435485839844
331.5 319.53564453125
336.5 319.5265502929688
341.5 319.5164794921875
346.5 319.5056762695312
351.5 319.4940490722656
356.5 319.4814758300781
361.5 319.4674072265625
366.5 319.4528198242188
371.5 319.4377136230469
376.5 319.4217529296875
381.5 319.4050598144531
386.5 319.3883056640625
391.5 319.3710327148438
396.5 319.3527526855469
401.5 319.333251953125
410. 319.3007202148438
420. 319.2587890625
430. 319.2136840820312
440. 319.1667175292969
450. 319.118408203125
460. 319.0678100585938
470. 319.0160217285156
480. 318.9624633789062
490. 318.9080505371094
500. 318.851806640625
510. 318.7935791015625
520. 318.7345581054688
530. 318.6741333007812
540. 318.6126708984375
550. 318.5503845214844
560. 318.4871215820312
570. 318.4230346679688
580. 318.3583679199219
590. 318.2935485839844
600. 318.2283325195312
610. 318.162109375
620. 318.0954284667969
630. 318.0283508300781
640. 317.9610290527344
650. 317.8931884765625
660. 317.8251953125
670. 317.7568664550781
680. 317.6886291503906
690. 317.6199035644531
700. 317.5511474609375
710. 317.4825134277344
720. 317.4139404296875
730. 317.3455200195312
740. 317.2770690917969
750. 317.2087707519531
760. 317.1405029296875
770. 317.0721130371094
780. 317.0039672851562
790. 316.9360961914062
800. 316.8689880371094
810. 316.8015747070312
820. 316.7345581054688
830. 316.6677856445312
840. 316.601318359375
850. 316.5350646972656
860. 316.46923828125
870. 316.4039001464844
880. 316.3388366699219
890. 316.2742919921875
900. 316.2101135253906
910. 316.1463928222656
920. 316.0831298828125
930. 316.0202331542969
940. 315.9578552246094
950. 315.8958740234375
960. 315.8344421386719
970. 315.7734069824219
980. 315.7127990722656
990. 315.6524658203125
1000. 315.5926513671875
1010. 315.5333862304688
1020. 315.4745483398438
1030. 315.4161682128906
1040. 315.3583374023438
1050. 315.3014526367188
